Drink,Size,Instructions,Image
Brown Sugar Oatmilk Shaken Espresso,Venti,"<b>Brown Sugar Oatmilk Shaken Espresso Venti</b><ul><li>3 pumps syrup in shaker</li><li>Fill with ice</li><li>Sprinkle cinnamon</li><li>Add 4 shots</li><li>Shake and pour</li><li>Top with oatmilk</li></ul>",./images/BrownSugarOatmilkShakenEspresso.jpg
Strawberry Acai Refresher,Tall,"<b>Strawberry Acai Refresher Tall</b><ul><li>4 oz strawberry acai base in shaker</li><li>Add 6 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/StrawberryAcaiRefresher.jpg
Strawberry Acai Refresher,Grande,"<b>Strawberry Acai Refresher Grande</b><ul><li>6 oz strawberry acai base in shaker</li><li>Add 8 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/StrawberryAcaiRefresher.jpg
Strawberry Acai Refresher,Venti,"<b>Strawberry Acai Refresher Venti</b><ul><li>8 oz strawberry acai base in shaker</li><li>Add 10 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/StrawberryAcaiRefresher.jpg
Mango Dragonfruit Refresher,Tall,"<b>Mango Dragonfruit Refresher Tall</b><ul><li>4 oz mango dragonfruit base in shaker</li><li>Add 6 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/MangoDragonfruitRefresher.jpg
Mango Dragonfruit Refresher,Grande,"<b>Mango Dragonfruit Refresher Grande</b><ul><li>6 oz mango dragonfruit base in shaker</li><li>Add 8 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/MangoDragonfruitRefresher.jpg
Mango Dragonfruit Refresher,Venti,"<b>Mango Dragonfruit Refresher Venti</b><ul><li>8 oz mango dragonfruit base in shaker</li><li>Add 10 oz water</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/MangoDragonfruitRefresher.jpg
Pink Drink,Tall,"<b>Pink Drink Tall</b><ul><li>4 oz strawberry acai base in shaker</li><li>6 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/PinkDrink.jpg
Pink Drink,Grande,"<b>Pink Drink Grande</b><ul><li>6 oz strawberry acai base in shaker</li><li>8 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/PinkDrink.jpg
Pink Drink,Venti,"<b>Pink Drink Venti</b><ul><li>8 oz strawberry acai base in shaker</li><li>10 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/PinkDrink.jpg
Dragon Drink,Tall,"<b>Dragon Drink Tall</b><ul><li>4 oz mango dragonfruit base in shaker</li><li>6 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/DragonDrink.jpg
Dragon Drink,Grande,"<b>Dragon Drink Grande</b><ul><li>6 oz mango dragonfruit base in shaker</li><li>8 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/DragonDrink.jpg
Dragon Drink,Venti,"<b>Dragon Drink Venti</b><ul><li>8 oz mango dragonfruit base in shaker</li><li>10 oz coconut milk</li><li>Top with ice</li><li>Shake and pour</li></ul>",./images/DragonDrink.jpg
Cold Brew,Tall,"<b>Cold Brew Tall</b><ul><li>8 oz cold brew</li><li>Top with ice</li></ul>",./images/ColdBrew.jpg
Cold Brew,Grande,"<b>Cold Brew Grande</b><ul><li>12 oz cold brew</li><li>Top with ice</li></ul>",./images/ColdBrew.jpg
Cold Brew,Venti,"<b>Cold Brew Venti</b><ul><li>16 oz cold brew</li><li>Top with ice</li></ul>",./images/ColdBrew.jpg
Nitro Cold Brew,Tall,"<b>Nitro Cold Brew Tall</b><ul><li>Fill cup with nitro cold brew</li></ul>",./images/NitroColdBrew.jpg
Nitro Cold Brew,Grande,"<b>Nitro Cold Brew Grande</b><ul><li>Fill cup with nitro cold brew</li></ul>",./images/NitroColdBrew.jpg
Nitro Cold Brew,Venti,"<b>Nitro Cold Brew Venti</b><ul><li>Fill cup with nitro cold brew</li></ul>",./images/NitroColdBrew.jpg
